palavra,casa,arquivo,raridade,posicao,cadeia,sentido,sentido_de
DEUS,pessoa,noun.person,comum,118,deus > espirito > convicção > objecto mental,"numa religião, ser sobrenatural de poderes sobre-humanos",Wikcionário
DIRETOR,pessoa,noun.person,comum,1228,diretor > administrador > cabeça > chefe,aquele que dirige,Wikcionário
DONO,pessoa,noun.person,comum,1683,dono > comerciante > empresário > capitalista,"(lei) alguém que é dono (é o proprietário legal) de um negócio; ""ele é o dono de uma cadeia de restaurantes""",OpenWordnet-PT
DOUTOR,pessoa,noun.person,comum,657,doutor > médico > profissional > adulto,pessoa que completou o curso de doutoramento e defendeu tese,Wikcionário
DRAGÃO,pessoa,noun.person,conhecida,2911,dragão,"monstro mitológico baseado em uma serpente ou lagarto, alado e que expele fogo pela boca",Wikcionário
EMBAIXADOR,pessoa,noun.person,conhecida,4448,embaixador > diplomata > funcionário > trabalhador especializado,um diplomata de mais alta patente; credenciado como representante de um país para outro,OpenWordnet-PT
EMPREGADA,pessoa,noun.person,conhecida,4112,empregada > doméstico > empregado doméstico > trabalhador,feminino de empregado,Wikcionário
ENFERMEIRA,pessoa,noun.person,comum,1937,enfermeira > médico > profissional > adulto,"mulher que cuida de doentes numa enfermaria, num hospital ou numa ambulância",Wikcionário
ENGENHEIRO,pessoa,noun.person,conhecida,5264,engenheiro > alguém > organismo > todo,pessoa habilitada por diploma oficial a desempenhar trabalhos de Engenharia,Wikcionário
ESCRITOR,pessoa,noun.person,conhecida,3758,escritor > comunicador > alguém > organismo,escrever (livros ou histórias ou artigos ou coisas semelhantes) profissionalmente (por dinheiro),OpenWordnet-PT
ESPIÃO,pessoa,noun.person,conhecida,3664,espião > agente > representante > negociador,pessoa empregada por um governo ou companhia para obter informações secretas sobre outro governo ou companhia,Wikcionário
ESPOSA,pessoa,noun.person,comum,373,esposa > companheiro > cara-metade > alguém,uma mulher casada; parceira de um homem em casamento,OpenWordnet-PT
ESPÍRITO,pessoa,noun.person,comum,1316,espírito > princípio vital > causa > entidade física,alma,Wikcionário
ESTACIONAMENTO,pessoa,noun.location,conhecida,2912,estacionamento > lote > gleba > região,um lugar onde os carros podem ser estacionados,OpenWordnet-PT
ESTUDANTE,pessoa,noun.person,conhecida,3026,estudante > alguém > organismo > todo,aquele ou aquela que estuda,Wikcionário
FILHO,pessoa,noun.person,comum,195,filho > descendente > parente > alguém,um filho ou filha de qualquer idade,OpenWordnet-PT
FÍSICO,pessoa,noun.person,conhecida,4281,físico > cientista > alguém > organismo,acadêmico ou estudioso da física,Wikcionário
GADO,pessoa,noun.animal,conhecida,4228,gado > bovinos > bovídeos > ruminante,"conjunto de animais (bois, carneiros, cabritos, cavalos etc.) criados para diversos fins",Wikcionário
GAROTO,pessoa,noun.person,comum,381,garoto > homem > alguém > organismo,criança ou adolescente do sexo ou gênero masculino,Wikcionário
GARÇOM,pessoa,noun.person,conhecida,4642,garçom,empregado que serve a mesa num restaurante ou outro estabelecimento congênere,Wikcionário
GATO,pessoa,noun.animal,comum,1382,gato > felino > carnívoro > mamífero,"mamífero felino, geralmente tendo pêlo macio e espesso, sem capacidade de rugir: gatos domésticos; gatos selvagens",OpenWordnet-PT
GENERAL,pessoa,noun.person,comum,991,general > almirante,a mais alta patente do exército,Wikcionário
GERENTE,pessoa,noun.person,conhecida,2431,gerente > administrador > cabeça > chefe,"administrador, aquele que gerencia",Wikcionário
GIGANTE,pessoa,noun.animal,conhecida,2338,gigante > animal > organismo > todo,homem de estatura muito acima do comum,Wikcionário
GOVERNADOR,pessoa,noun.person,conhecida,2641,governador > político > chefe > alguém,quem governa,Wikcionário
GUERREIRO,pessoa,noun.person,conhecida,3480,guerreiro > alguém > organismo > todo,alguém que luta (ou esta lutando),OpenWordnet-PT
GÊNIO,pessoa,noun.person,conhecida,2139,gênio > intelecto > alguém > organismo,,
HERÓI,pessoa,noun.person,comum,1394,herói > chefe > alguém > organismo,"Um homem distinto por excepcional coragem, nobreza e força",OpenWordnet-PT
HOMEM,pessoa,noun.person,comum,145,homem > adulto > alguém > organismo,"pessoa do sexo ou gênero masculino, geralmente, mas não exclusivamente, adulta",Wikcionário
INFERNO,pessoa,noun.location,comum,828,inferno > região > localização > objeto,qualquer região inferior ou subterrânea; ínfero,Wikcionário
INSPETOR,pessoa,noun.person,conhecida,2219,inspetor > agente,"o que vê, observa, fiscaliza ou inspeciona",Wikcionário
IRMÃ,pessoa,noun.person,comum,463,irmã,"aquela que em relação a outrem, possui os dois pais (o mesmo pai e a mesma mãe ao mesmo tempo) em comum",Wikcionário
IRMÃO,pessoa,noun.person,comum,304,irmão > parente > alguém > organismo,"aquele que em relação a outrem, possuí os dois pais (o mesmo pai e a mesma mãe ao mesmo tempo) em comum",Wikcionário
JOGADOR,pessoa,noun.person,conhecida,2665,jogador > competidor > alguém > organismo,uma pessoa que participa ou é hábil em algum jogo ou esporte,OpenWordnet-PT
JORNALISTA,pessoa,noun.person,conhecida,4493,jornalista > comunicador > alguém > organismo,pessoa com a profissão de escrever em jornais,Wikcionário
JOVEM,pessoa,noun.person,comum,562,jovem > alguém > organismo > todo,uma pessoa jovem de ambos os sexos,OpenWordnet-PT
JUIZ,pessoa,noun.person,comum,1343,juiz > adjudicator > alguém > organismo,"nome que se dá a Deus, acompanhado geralmente de algum epíteto",Wikcionário
LADRÃO,pessoa,noun.person,conhecida,2084,ladrão > bandido,pessoa que toma para si objetos de outrem,Wikcionário
LEÃO,pessoa,noun.animal,conhecida,3839,leão > gato > felino > carnívoro,"grande felino predator da África e da Índia, gregário que tem um pelo marrom com uma juba grande no macho",OpenWordnet-PT
LÍDER,pessoa,noun.person,comum,1301,líder > alguém > organismo > todo,"chefe, dirigente",Wikcionário
MACACO,pessoa,noun.animal,conhecida,2908,macaco > primata > mamífero > vertebrado,"nome comum dos primatas da sub-ordem Simiiformes, normalmente excluindo o ser humano",Wikcionário
MADAME,pessoa,noun.person,comum,1575,madame > mulher > adulto > alguém,uma mulher refinada,OpenWordnet-PT
MAJOR,pessoa,noun.person,comum,1495,major,patente das forças armadas,Wikcionário
MAMÃE,pessoa,noun.person,comum,403,mamãe > mãe > genitor > progenitor,forma carinhosa de mãe,Wikcionário
MANO,pessoa,noun.person,conhecida,2227,mano > negra > alguém > organismo,"irmão (todas as acepções, exceto Religião)",Wikcionário
MARIDO,pessoa,noun.person,comum,427,marido > companheiro > cara-metade > alguém,o cônjuge masculino,Wikcionário
MESTRE,pessoa,noun.person,comum,992,mestre > educacionista > profissional > adulto,uma pessoa cuja ocupação é ensinar,OpenWordnet-PT
MILITAR,pessoa,noun.person,comum,1925,militar > trabalhador especializado > trabalhador > alguém,pessoa que trabalha numa das forças armadas,Wikcionário
MINISTRO,pessoa,noun.person,conhecida,2493,ministro > clérigo > chefe > alguém,membro do Governo que dirige um ministério,Wikcionário
MOTORISTA,pessoa,noun.person,comum,1816,motorista > manipulador > causa > entidade física,pessoa que conduz veículo automotivo,Wikcionário
MÁGICO,pessoa,noun.person,conhecida,2815,mágico > ocultista > alguém > organismo,,
MÃE,pessoa,noun.person,comum,120,mãe > genitor > progenitor > ancestral,"mulher que tem ou teve filhos, naturais ou adotivos",Wikcionário
MÉDICO,pessoa,noun.person,comum,589,médico > profissional > adulto > alguém,"pessoa diplomada em medicina, qualificada para tratar doentes",Wikcionário
NAMORADO,pessoa,noun.person,comum,948,namorado > amado > alguém > organismo,pessoa que se namora,Wikcionário
NOIVA,pessoa,noun.person,comum,1691,noiva > recém-casado > companheiro > cara-metade,mulher comprometida em casar-se ou que irá casar-se logo,Wikcionário
NOIVO,pessoa,noun.person,conhecida,2744,noivo > amado > alguém > organismo,aquele que assumiu um noivado,Wikcionário
OFICIAL,pessoa,noun.person,comum,996,oficial > militar > trabalhador especializado > trabalhador,certo tipo de funcionário público,Wikcionário
OVO,pessoa,noun.animal,conhecida,3312,ovo > óvulo > Gameta > Célula germinativa,"célula reprodutora feminina dos animais, macrogameta",Wikcionário
PACIENTE,pessoa,noun.person,comum,1227,paciente,pessoa que está sob cuidados médicos,Wikcionário
PAI,pessoa,noun.person,comum,115,pai > genitor > progenitor > ancestral,"homem que tem filhos, naturais ou adotivos",Wikcionário
PAPAI,pessoa,noun.person,comum,346,papai > genitor > progenitor > ancestral,pai,Wikcionário
PARAÍSO,pessoa,noun.location,conhecida,2835,paraíso > região > localização > objeto,céu,Wikcionário
PARCEIRO,pessoa,noun.person,comum,1271,parceiro > associado > igual > alguém,"uma pessoa com a qual compartilhamos algum evento, ação ou empreitada",Wikcionário
PARENTE,pessoa,noun.person,conhecida,4559,parente > alguém > organismo > todo,"indivíduo que, em relação a outro, pertence à mesma família",Wikcionário
PARQUE,pessoa,noun.location,comum,1615,parque > gleba > região > localização,,
PATO,pessoa,noun.animal,conhecida,4646,pato,"pequeno pássaro, selvagem ou domesticad, aquatico, com bico largo, web-footed, geralmente com um corpo deprimido e pernas curtas",OpenWordnet-PT
PATRÃO,pessoa,noun.person,conhecida,3688,patrão > official > lobo-do-mar > marinheiro,chefe ou proprietário de um estabelecimento ou fábrica,Wikcionário
PEIXE,pessoa,noun.animal,comum,1474,peixe > vertebrado aquático > vertebrado > cordados,qualquer um de vários vertebrados aquáticos normalmente de sangue frio geralmente com escalas e que respiram através de brânquias,OpenWordnet-PT
PERSONAGEM,pessoa,noun.person,conhecida,3173,personagem > creatura imaginaria > imaginação > Criatividade,"pessoa ilustre, importante, notável",Wikcionário
PERU,pessoa,noun.animal,conhecida,4022,peru > ave doméstica > galináceo > ave,ave da família dos Fasianídeos apreciada em culinária,Wikcionário
PILOTO,pessoa,noun.person,conhecida,2274,piloto > aeronauta > trabalhador especializado > trabalhador,,
PINTO,pessoa,noun.animal,conhecida,4786,pinto > frango > ave doméstica > galináceo,filhote de galinha,Wikcionário
POLICIAL,pessoa,noun.person,comum,688,policial > agente,funcionário da polícia,Wikcionário
POLÍTICO,pessoa,noun.person,conhecida,3885,político > chefe > alguém > organismo,pessoa participante da política ou dedicada a ela,Wikcionário
PORCO,pessoa,noun.animal,comum,1806,porco > Artiodáctilos > ungulados > mamífero,"animal mamífero, da família dos suídeos, usado como fonte de carne para alimentação humana",Wikcionário
PORTO,pessoa,noun.location,conhecida,3185,porto,"lugar sobre uma costa de mar, ou junto à foz de um rio, para abrigo e ancoradouro de navios",Wikcionário
PRAÇA,pessoa,noun.location,conhecida,5051,praça > gleba > região > localização,espaço público e espaçoso rodeado de edifícios; rossio; mercado; circo,Wikcionário
PREFEITO,pessoa,noun.person,comum,1973,prefeito > político > chefe > alguém,chefe do poder executivo de um município,Wikcionário
PRIMO,pessoa,noun.person,comum,1961,primo > parente > alguém > organismo,"filho da tia ou do tio; possuí em comum com outrem, zero pais e dois avós em comum",Wikcionário
PRISIONEIRO,pessoa,noun.person,conhecida,3118,prisioneiro > desafortunado > alguém > organismo,"uma pessoa confinada em prisão ou mantida em custódia, especialmente como resultado de um processo legal",Wikcionário
PRODUTOR,pessoa,noun.person,conhecida,4878,produtor > fazedor > creador > alguém,aquele que produz,Wikcionário
PROFESSOR,pessoa,noun.person,comum,782,professor > educacionista > profissional > adulto,uma pessoa cuja ocupação é ensinar,OpenWordnet-PT
PSIQUIATRA,pessoa,noun.person,conhecida,4336,psiquiatra,médico especializado em psiquiatria,Wikcionário
PÁSSARO,pessoa,noun.animal,conhecida,2500,pássaro > vertebrado > cordados > animal,"animal vertebrado de sangue quente, ovípadro caracterizado por ter o corpo coberto de penas e os membros dianteiros modificados como asas",OpenWordnet-PT
RAINHA,pessoa,noun.animal,comum,1166,rainha > Insectos > Artropode > invertebrado,"consorte do rei, ou a governante de um país de sistema político monárquico",Wikcionário
RAPAZ,pessoa,noun.person,comum,784,rapaz > homem > alguém > organismo,homem jovem,Wikcionário
RATO,pessoa,noun.animal,conhecida,2514,rato > roedor > mamífero > vertebrado,"pequeno roedor da família dos murídeos, gêneros Rattus, Mus",Wikcionário
REFÉM,pessoa,noun.person,conhecida,5259,refém > desafortunado > alguém > organismo,pessoa ou povoação que fica em poder do inimigo como penhor de um contrato,Wikcionário
REI,pessoa,noun.person,comum,631,rei > monarca > chefe de Estado > representante,soberano; monarca; czar,Wikcionário
REPÓRTER,pessoa,noun.person,conhecida,4049,repórter > comunicador > alguém > organismo,"noticiarista, informador de jornais",Wikcionário
RÉU,pessoa,noun.person,conhecida,5042,réu > litigante > parte > alguém,pessoa acusada/increpada num processo jurídico,Wikcionário
SARGENTO,pessoa,noun.person,comum,1132,sargento,"posto de praça graduado de qualquer corporação militar que, na escala hierárquica, está entre o cabo e o subtenente ou suboficial",Wikcionário
SECRETÁRIO,pessoa,noun.person,conhecida,4191,secretário > ajudante > trabalhador > alguém,funcionário de secretaria,Wikcionário
SENADOR,pessoa,noun.person,conhecida,2926,senador > legiferante > fazedor de leis > chefe,um membro de um senado,OpenWordnet-PT
SENHOR,pessoa,noun.person,comum,122,senhor > homem > adulto > alguém,tratamento deferente ou sem caráter de intimidade dado à pessoa com quem se fala ou a quem se escreve,Wikcionário
SENHORITA,pessoa,noun.person,comum,994,senhorita > mulher > adulto > alguém,tratamento dispensado às moças solteiras,Wikcionário
SOBRINHO,pessoa,noun.person,conhecida,3803,sobrinho > parente > alguém > organismo,filho do irmão ou da irmã,Wikcionário
SOLDADO,pessoa,noun.person,comum,1511,soldado,militar de mais baixo estatuto na hierarquia,Wikcionário
TENENTE,pessoa,noun.person,comum,923,tenente,patente das forças armadas abaixo do capitão,Wikcionário
TERAPEUTA,pessoa,noun.person,conhecida,5031,terapeuta > especialista > alguém > organismo,aquele que exerce alguma forma de terapia,Wikcionário
TIA,pessoa,noun.person,comum,1102,tia,irmã do pai,Wikcionário
TIO,pessoa,noun.person,comum,706,tio > parente > alguém > organismo,irmão da mãe ou do pai,Wikcionário
TREINADOR,pessoa,noun.person,conhecida,2196,treinador > chefe > alguém > organismo,profissional que instrui e/ou treina um atleta,Wikcionário
TÉCNICO,pessoa,noun.person,conhecida,3894,técnico > treinador > chefe > alguém,,
VACA,pessoa,noun.animal,conhecida,2524,vaca > bovinos > bovídeos > ruminante,feminino de boi,Wikcionário
VELHO,pessoa,noun.person,comum,442,velho > homem > adulto > alguém,aquele que tem mais idade,Wikcionário
VENCEDOR,pessoa,noun.person,conhecida,2689,vencedor > alguém > organismo > todo,aquele que venceu; que é ou tem estofo de vitorioso,Wikcionário
VENDEDOR,pessoa,noun.person,conhecida,4430,vendedor > representante de vendas > assalariado > trabalhador,um vendedor homem,OpenWordnet-PT
VILA,pessoa,noun.location,conhecida,2616,vila > municipalidade > distrito administrativo > circunscrição,povoação de tamanho intermédio entre aldeia e cidade,Wikcionário
VIZINHO,pessoa,noun.location,conhecida,3064,vizinho,confinante,Wikcionário
VIÚVA,pessoa,noun.person,conhecida,4407,viúva > mulher > adulto > alguém,mulher a quem morreu o marido e não voltou a casar; feminino de viúvo,Wikcionário
VOVÓ,pessoa,noun.person,comum,1740,vovó > avó > antepassado > ancestral,avó,Wikcionário
VOVÔ,pessoa,noun.person,comum,1915,vovô > avó > antepassado > ancestral,avô,Wikcionário
VÍTIMA,pessoa,noun.person,comum,963,vítima > desafortunado > alguém > organismo,,
XERIFE,pessoa,noun.person,comum,1403,xerife,título usado por príncipes mouros,Wikcionário
